n,sorting policy,lexdiv,sentcomp,sim,smog,pareto_efficient,dominated,w_lexdiv,w_sentcomp,w_sim,w_smog,balanced_score
N,pred-nb_pinned_rt,0.12664919,-0.042508766,-0.08655629,0.09334726,False,True,0.25,0.25,0.25,0.25,0.022732846
N,pred-nb_rh,0.17730571,-0.027956553,0.26993656,0.13426381,False,True,0.25,0.25,0.25,0.25,0.13838738
N,pred-nb_rl,0.24345037,-0.028777083,0.34690776,0.2088965,True,False,0.25,0.25,0.25,0.25,0.1926194
N,pred-nb_rt,0.12755065,-0.043490823,-0.08703616,0.093959495,False,True,0.25,0.25,0.25,0.25,0.022745788
N,pred-xgb_pinned_rh,0.16100399,-0.024415694,0.26503494,0.12062521,False,True,0.25,0.25,0.25,0.25,0.13056211
N,pred-xgb_pinned_rl,0.23943831,-0.022534331,0.32639092,0.19612779,True,False,0.25,0.25,0.25,0.25,0.18485567
N,pred-xgb_pinned_rt,0.08199976,-0.0225547,-0.04971135,0.058217227,False,True,0.25,0.25,0.25,0.25,0.016987734
N,pred-xgb_rh,0.16069816,-0.024505729,0.2649468,0.120563045,False,True,0.25,0.25,0.25,0.25,0.13042556
N,pred-xgb_rl,0.23865323,-0.022616886,0.3256782,0.195727,False,True,0.25,0.25,0.25,0.25,0.18436038
N,pred-xgb_rt,0.07946539,-0.02237047,-0.050265446,0.056604914,False,True,0.25,0.25,0.25,0.25,0.015858596
N,random_pinned_rh,0.118599676,-0.007902436,0.24436165,0.08790565,True,False,0.25,0.25,0.25,0.25,0.11074114
N,random_pinned_rl,0.011633712,0.0011097115,0.008380098,0.008407882,False,True,0.25,0.25,0.25,0.25,0.007382851
N,random_pinned_rt,0.01989686,-0.00272108,0.0041180365,0.013936205,False,True,0.25,0.25,0.25,0.25,0.008807505
N,random_rh,0.11342621,-0.008443533,0.24340495,0.084183164,False,True,0.25,0.25,0.25,0.25,0.1081427
N,random_rl,-0.002087055,-0.00033729232,-0.0023618212,-0.0017868511,False,True,0.25,0.25,0.25,0.25,-0.0016432549
N,random_rt,0.007703097,-0.0021581957,0.01027418,0.0060838023,False,True,0.25,0.25,0.25,0.25,0.0054757213
N,rev-chron_pinned_rh,0.1251797,-0.009859736,0.24544466,0.09166429,False,True,0.25,0.25,0.25,0.25,0.11310723
N,rev-chron_pinned_rl,0.06461246,-0.0174754,-0.051164635,0.029663406,False,True,0.25,0.25,0.25,0.25,0.0064089587
N,rev-chron_pinned_rt,0.07401276,-0.009609786,0.041254528,0.04526657,False,True,0.25,0.25,0.25,0.25,0.037731014
N,rev-chron_rh,0.12025228,-0.009917735,0.24346247,0.08873935,False,True,0.25,0.25,0.25,0.25,0.11063409
N,rev-chron_rl,0.048855156,-0.018069807,-0.068287745,0.019609364,False,True,0.25,0.25,0.25,0.25,-0.0044732583
N,rev-chron_rt,0.062375788,-0.00955128,0.055556852,0.038284905,False,True,0.25,0.25,0.25,0.25,0.036666565
