feature,n,sorting policy,FORUM,nDCG,AUC
sim,10,pred-xgb_rh,0.113893725,0.47453138,0.5569469
sim,10,pred-xgb_rl,0.11234718,0.47373933,0.55617356
sim,10,pred-xgb_rt,-0.12633453,0.36018687,0.43683276
sim,10,random_pinned_rh,0.061106574,0.44851252,0.5305533
sim,10,random_pinned_rl,-0.07904317,0.38143885,0.4604784
sim,10,random_pinned_rt,-0.099670015,0.3724242,0.45016497
sim,10,random_rh,0.028895117,0.43314323,0.51444757
sim,10,random_rl,-0.18973456,0.32962894,0.40513268
sim,10,random_rt,-0.11305501,0.36616832,0.44347247
sim,10,rev-chron_pinned_rh,0.0711452,0.45369768,0.5355726
sim,10,rev-chron_pinned_rl,-0.117388554,0.36443955,0.4413057
sim,10,rev-chron_pinned_rt,-0.048249345,0.39683396,0.47587532
sim,10,rev-chron_rh,0.039431464,0.43851548,0.5197157
sim,10,rev-chron_rl,-0.26219845,0.29754046,0.36890078
sim,10,rev-chron_rt,-0.016531836,0.41172487,0.4917341
smog,10,chron_pinned_rh,0.032286946,0.43321764,0.5161435
smog,10,chron_pinned_rl,0.01182829,0.42334017,0.50591415
smog,10,chron_pinned_rt,-0.023622576,0.40630177,0.4881887
smog,10,chron_rh,-0.04390004,0.39639774,0.47805
smog,10,chron_rl,-0.0807926,0.37886742,0.4596037
smog,10,chron_rt,-0.096489884,0.37167338,0.45175505
smog,10,least-neg-abs_pinned_rh,0.0643526,0.44882566,0.5321763
smog,10,least-neg-abs_pinned_rl,0.049950507,0.44191858,0.52497524
smog,10,least-neg-abs_pinned_rt,-0.04301814,0.39683795,0.47849092
smog,10,least-neg-abs_rh,0.031747628,0.43263564,0.5158738
smog,10,least-neg-abs_rl,0.008876099,0.42169225,0.50443804
smog,10,least-neg-abs_rt,-0.10710126,0.36661318,0.44644937
smog,10,neg-abs_pinned_rh,0.10007654,0.466512,0.5500383
smog,10,neg-abs_pinned_rl,0.08214095,0.4575046,0.54107046
smog,10,neg-abs_pinned_rt,0.0038241865,0.41934958,0.5019121
smog,10,neg-abs_rh,0.075629406,0.45420828,0.53781474
smog,10,neg-abs_rl,0.049320374,0.44107315,0.52466017
smog,10,neg-abs_rt,-0.030579118,0.40292004,0.48471045
smog,10,pin-pred-lr_pinned_rh,0.15266107,0.4930997,0.57633054
